Order_id,Order_date,Customer_id,Region,Product,Cost,Sales,Profit,Year,Month
2,2023-03-31,4973.0,South,Keyboard,675.54,1070.48,394.94000000000005,2023,3
4,2023-01-18,6317.0,East,Headphones,352.82,745.75,392.93,2023,1
5,2023-10-01,6141.0,South,Keyboard,729.79,1149.35,419.55999999999995,2023,10
7,2023-08-27,2205.0,South,Keyboard,393.45,405.31,11.860000000000014,2023,8
8,2023-04-28,1277.0,East,Tablet,214.77,570.89,356.12,2023,4
9,2023-05-26,7953.0,West,Monitor,736.12,1118.18,382.06000000000006,2023,5
11,2023-12-25,5895.0,East,Monitor,472.95,644.41,171.45999999999998,2023,12
12,2023-03-04,4160.0,East,Keyboard,215.77,286.51,70.73999999999998,2023,3
13,2023-03-25,5035.0,East,Tablet,295.2,634.92,339.71999999999997,2023,3
17,2023-07-14,3286.0,North,Keyboard,518.73,929.33,410.6,2023,7
18,2023-09-26,8830.0,South,Phone,805.51,898.07,92.56000000000006,2023,9
19,2023-12-30,3979.0,East,Monitor,793.31,1188.68,395.3700000000001,2023,12
20,2023-07-10,2956.0,East,Monitor,856.81,966.12,109.31000000000006,2023,7
22,2023-01-09,5848.0,West,Phone,585.22,741.84,156.62,2023,1
23,2023-07-29,2973.0,East,Headphones,480.64,957.29,476.65,2023,7
27,2023-09-20,2661.0,North,Headphones,242.73,598.43,355.69999999999993,2023,9
28,2023-12-16,3668.0,North,Tablet,209.65,331.76,122.10999999999999,2023,12
29,2023-09-06,3668.0,North,Keyboard,439.64,632.94,193.30000000000007,2023,9
31,2023-01-08,8601.0,South,Phone,475.92,948.52,472.59999999999997,2023,1
32,2023-04-11,1381.0,South,Tablet,808.97,977.41,168.43999999999994,2023,4
33,2023-10-04,8453.0,North,Phone,329.21,491.62,162.41000000000003,2023,10
34,2023-12-06,5534.0,East,Tablet,351.88,420.85,68.97000000000003,2023,12
35,2023-12-31,1121.0,West,Monitor,757.16,940.38,183.22000000000003,2023,12
36,2023-01-25,1680.0,North,Phone,737.9,815.05,77.14999999999998,2023,1
39,2023-12-11,4402.0,East,Phone,130.9,328.83,197.92999999999998,2023,12
40,2023-03-17,2891.0,North,Tablet,363.66,785.36,421.7,2023,3
41,2023-07-18,7029.0,East,Keyboard,156.41,434.05,277.64,2023,7
42,2023-04-05,8269.0,West,Tablet,946.83,1372.83,425.9999999999999,2023,4
43,2023-11-28,9776.0,South,Monitor,809.22,1210.06,400.8399999999999,2023,11
44,2023-01-01,2595.0,South,Keyboard,991.0,1413.01,422.01,2023,1
46,2023-07-08,5772.0,West,Monitor,836.44,985.85,149.40999999999997,2023,7
47,2023-12-28,1345.0,West,Phone,332.8,680.56,347.75999999999993,2023,12
48,2023-12-21,7334.0,East,Monitor,203.67,520.39,316.72,2023,12
50,2023-05-02,4539.0,East,Laptop,177.26,547.59,370.33000000000004,2023,5
53,2023-03-19,4013.0,South,Keyboard,197.87,407.58,209.70999999999998,2023,3
54,2023-08-21,1164.0,West,Laptop,205.6,382.74,177.14000000000001,2023,8
55,2023-02-14,4316.0,North,Laptop,699.04,843.38,144.34000000000003,2023,2
56,2023-05-24,5242.0,South,Monitor,829.58,1113.86,284.27999999999986,2023,5
57,2023-05-01,4264.0,North,Monitor,288.08,408.89,120.81,2023,5
58,2023-10-08,6327.0,South,Keyboard,950.22,1183.97,233.75,2023,10
60,2023-07-25,2959.0,West,Phone,403.22,617.94,214.72000000000003,2023,7
61,2023-03-01,4682.0,West,Tablet,820.94,1018.78,197.83999999999992,2023,3
63,2023-05-30,2777.0,North,Phone,946.88,1347.84,400.9599999999999,2023,5
64,2023-08-04,2244.0,West,Keyboard,182.81,243.64,60.829999999999984,2023,8
65,2023-01-14,6396.0,North,Keyboard,769.06,888.38,119.32000000000005,2023,1
66,2023-09-22,4116.0,East,Phone,161.16,274.27,113.10999999999999,2023,9
69,2023-08-07,6503.0,East,Keyboard,407.14,741.26,334.12,2023,8
70,2023-06-06,6185.0,East,Laptop,714.65,803.21,88.56000000000006,2023,6
72,2023-01-01,3359.0,North,Tablet,886.96,1008.38,121.41999999999996,2023,1
73,2023-07-15,7861.0,West,Keyboard,256.07,362.65,106.57999999999998,2023,7
77,2023-11-03,4733.0,South,Keyboard,600.83,613.31,12.479999999999905,2023,11
78,2023-11-25,7657.0,West,Keyboard,827.13,925.22,98.09000000000003,2023,11
79,2023-06-07,9588.0,South,Monitor,585.93,672.1,86.17000000000007,2023,6
80,2023-02-26,8612.0,East,Headphones,201.94,325.35,123.41000000000003,2023,2
81,2023-05-25,9484.0,West,Laptop,939.79,1422.18,482.3900000000001,2023,5
83,2023-02-28,8604.0,East,Monitor,381.22,618.3,237.07999999999993,2023,2
84,2023-08-07,1426.0,East,Keyboard,636.52,972.55,336.03,2023,8
85,2023-05-17,4648.0,North,Monitor,180.31,398.2,217.89,2023,5
87,2023-05-22,7095.0,South,Keyboard,697.57,1139.06,441.4899999999999,2023,5
88,2023-12-29,3414.0,West,Laptop,787.77,932.56,144.78999999999996,2023,12
89,2023-12-23,9622.0,East,Headphones,634.59,694.18,59.58999999999992,2023,12
90,2023-09-16,5694.0,West,Laptop,908.98,1188.64,279.6600000000001,2023,9
92,2023-02-22,3099.0,North,Headphones,844.45,1245.48,401.03,2023,2
93,2023-04-16,2792.0,West,Tablet,369.12,667.71,298.59000000000003,2023,4
94,2023-01-24,1840.0,East,Monitor,612.43,650.86,38.430000000000064,2023,1
96,2023-04-15,1876.0,West,Laptop,455.9,608.35,152.45000000000005,2023,4
99,2023-09-05,6358.0,East,Tablet,369.19,575.27,206.07999999999998,2023,9
102,2023-12-18,5401.0,South,Phone,316.48,605.08,288.6,2023,12
104,2023-08-11,1021.0,North,Monitor,613.23,980.0,366.77,2023,8
105,2023-09-05,5648.0,North,Phone,169.25,556.97,387.72,2023,9
